1975-06-01,53.200
1975-07-01,53.500
1975-08-01,53.700
1975-09-01,54.000
1975-10-01,54.300
1975-11-01,54.600
1975-12-01,54.900
1976-01-01,55.100
1976-02-01,55.300
1976-03-01,55.500
1976-04-01,55.900
1976-05-01,56.200
1976-06-01,56.400
1976-07-01,56.600
1976-08-01,57.000
1976-09-01,57.200
1976-10-01,57.500
1976-11-01,57.700
1976-12-01,57.900
1977-01-01,58.300
1977-02-01,58.600
1977-03-01,58.900
1977-04-01,59.300
1977-05-01,59.600
1977-06-01,60.000
1977-07-01,60.300
1977-08-01,60.600
1977-09-01,61.100
1977-10-01,61.500
1977-11-01,61.700
1977-12-01,62.000
1978-01-01,62.400
1978-02-01,62.800
1978-03-01,63.200
1978-04-01,63.500
1978-05-01,63.800
1978-06-01,64.200
1978-07-01,64.500
1978-08-01,64.800
1978-09-01,65.200
1978-10-01,65.500
1978-11-01,66.100
1978-12-01,66.600
1979-01-01,66.900
1979-02-01,67.300
1979-03-01,67.600
1979-04-01,67.900
1979-05-01,68.200
1979-06-01,68.600
1979-07-01,69.000
1979-08-01,69.500
1979-09-01,69.900
1979-10-01,70.300
1979-11-01,70.900
1979-12-01,71.700
1980-01-01,72.200
1980-02-01,72.700
1980-03-01,73.300
1980-04-01,73.800
1980-05-01,74.500
1980-06-01,75.100
1980-07-01,75.800
1980-08-01,76.300
1980-09-01,76.900
1980-10-01,77.500
1980-11-01,78.200
1980-12-01,78.700
1981-01-01,79.500
1981-02-01,80.400
1981-03-01,81.000
1981-04-01,81.600
1981-05-01,82.600
1981-06-01,83.400
1981-07-01,84.100
1981-08-01,84.900
1981-09-01,85.600
1981-10-01,86.300
1981-11-01,86.800
1981-12-01,87.600
1982-01-01,88.200
1982-02-01,88.900
1982-03-01,89.700
1982-04-01,90.500
1982-05-01,91.200
1982-06-01,92.000
1982-07-01,92.500
1982-08-01,93.300
1982-09-01,94.200
1982-10-01,95.100
1982-11-01,95.700
1982-12-01,96.100
1983-01-01,97.000
1983-02-01,97.500
1983-03-01,98.100
1983-04-01,98.900
1983-05-01,99.400
1983-06-01,99.800
1983-07-01,100.400
1983-08-01,101.000
1983-09-01,101.600
1983-10-01,102.200
1983-11-01,102.900
1983-12-01,103.500
1984-01-01,104.100
1984-02-01,104.800
1984-03-01,105.300
1984-04-01,105.900
1984-05-01,106.700
1984-06-01,107.200
1984-07-01,107.800
1984-08-01,108.300
1984-09-01,108.900
1984-10-01,109.700
1984-11-01,110.400
1984-12-01,111.200
1985-01-01,111.700
1985-02-01,112.400
1985-03-01,112.900
1985-04-01,113.600
1985-05-01,114.100
1985-06-01,115.100
1985-07-01,115.500
1985-08-01,116.200
1985-09-01,116.800
1985-10-01,117.400
1985-11-01,118.100
1985-12-01,118.200
1986-01-01,119.100
1986-02-01,120.200
1986-03-01,120.800
1986-04-01,121.400
1986-05-01,121.800
1986-06-01,122.300
1986-07-01,123.400
1986-08-01,123.700
1986-09-01,124.200
1986-10-01,124.700
1986-11-01,125.000
1986-12-01,126.200
1987-01-01,127.000
1987-02-01,127.600
1987-03-01,128.400
1987-04-01,128.700
1987-05-01,129.600
1987-06-01,130.600
1987-07-01,131.300
1987-08-01,132.100
1987-09-01,132.800
1987-10-01,133.700
1987-11-01,134.400
1987-12-01,135.100
1988-01-01,135.800
1988-02-01,136.300
1988-03-01,136.900
1988-04-01,137.800
1988-05-01,138.700
1988-06-01,139.200
1988-07-01,140.200
1988-08-01,141.000
1988-09-01,142.000
1988-10-01,143.400
1988-11-01,143.600
1988-12-01,144.500
1989-01-01,145.300
1989-02-01,146.000
1989-03-01,147.100
1989-04-01,148.100
1989-05-01,149.600
1989-06-01,150.800
1989-07-01,151.100
1989-08-01,152.000
1989-09-01,153.300
1989-10-01,154.300
1989-11-01,155.700
1989-12-01,156.300
1990-01-01,157.300
1990-02-01,158.700
1990-03-01,159.700
1990-04-01,160.900
1990-05-01,161.800
1990-06-01,163.000
1990-07-01,163.800
1990-08-01,164.800
1990-09-01,166.000
1990-10-01,167.100
1990-11-01,168.200
1990-12-01,169.500
1991-01-01,170.700
1991-02-01,171.500
1991-03-01,172.800
1991-04-01,173.900
1991-05-01,175.100
1991-06-01,176.300
1991-07-01,177.500
1991-08-01,178.900
1991-09-01,180.000
1991-10-01,180.700
1991-11-01,181.700
1991-12-01,182.100
1992-01-01,183.300
1992-02-01,184.900
1992-03-01,186.200
1992-04-01,187.500
1992-05-01,187.400
1992-06-01,187.900
1992-07-01,188.400
1992-08-01,188.900
1992-09-01,189.600
1992-10-01,190.100
1992-11-01,190.900
1992-12-01,191.500
1993-01-01,192.100
1993-02-01,192.900
1993-03-01,193.300
1993-04-01,193.300
1993-05-01,194.100
1993-06-01,194.700
1993-07-01,195.500
1993-08-01,196.100
1993-09-01,196.400
1993-10-01,196.900
1993-11-01,197.100
1993-12-01,197.500
1994-01-01,198.000
1994-02-01,198.400
1994-03-01,198.600
1994-04-01,199.400
1994-05-01,200.000
1994-06-01,200.400
1994-07-01,201.000
1994-08-01,201.600
1994-09-01,202.000
1994-10-01,202.400
1994-11-01,203.200
1994-12-01,203.400
1995-01-01,203.300
1995-02-01,203.300
1995-03-01,203.400
1995-04-01,203.300
1995-05-01,203.400
1995-06-01,203.700
1995-07-01,204.100
1995-08-01,204.600
1995-09-01,205.100
1995-10-01,205.900
1995-11-01,206.600
1995-12-01,206.900
1996-01-01,207.900
1996-02-01,208.300
1996-03-01,208.700
1996-04-01,209.300
1996-05-01,209.700
1996-06-01,210.300
1996-07-01,210.600
1996-08-01,211.000
1996-09-01,211.500
1996-10-01,212.600
1996-11-01,212.300
1996-12-01,212.300
1997-01-01,213.000
1997-02-01,213.800
1997-03-01,214.500
1997-04-01,214.900
1997-05-01,215.500
1997-06-01,215.600
1997-07-01,215.600
1997-08-01,215.400
1997-09-01,215.500
1997-10-01,215.900
1997-11-01,216.300
1997-12-01,217.100
1998-01-01,217.900
1998-02-01,218.300
1998-03-01,218.300
1998-04-01,219.800
1998-05-01,221.200
1998-06-01,221.600
1998-07-01,221.800
1998-08-01,223.000
1998-09-01,224.200
1998-10-01,224.600
1998-11-01,225.100
1998-12-01,226.000
1999-01-01,226.200
1999-02-01,226.900
1999-03-01,227.600
1999-04-01,229.000
1999-05-01,229.200
1999-06-01,230.000
1999-07-01,231.200
1999-08-01,232.300
1999-09-01,233.100
1999-10-01,233.600
1999-11-01,234.400
1999-12-01,234.900
2000-01-01,235.500
2000-02-01,235.600
2000-03-01,236.200
2000-04-01,236.800
2000-05-01,237.400
2000-06-01,237.700
2000-07-01,238.100
2000-08-01,238.900
2000-09-01,239.400
2000-10-01,239.900
2000-11-01,240.600
2000-12-01,241.500
2001-01-01,242.600
2001-02-01,243.800
2001-03-01,244.800
2001-04-01,245.600
2001-05-01,246.500
2001-06-01,247.800
2001-07-01,248.000
2001-08-01,248.800
2001-09-01,249.600
2001-10-01,250.500
2001-11-01,251.100
2001-12-01,252.000
2002-01-01,252.900
2002-02-01,253.600
2002-03-01,254.000
2002-04-01,254.700
2002-05-01,255.300
2002-06-01,256.100
2002-07-01,257.000
2002-08-01,257.400
2002-09-01,257.800
2002-10-01,258.500
2002-11-01,259.600
2002-12-01,260.000
2003-01-01,260.600
2003-02-01,260.300
2003-03-01,261.300
2003-04-01,261.500
2003-05-01,261.700
2003-06-01,261.800
2003-07-01,263.200
2003-08-01,263.900
2003-09-01,264.800
2003-10-01,264.800
2003-11-01,264.300
2003-12-01,265.600
2004-01-01,265.800
2004-02-01,266.600
2004-03-01,267.200
2004-04-01,268.400
2004-05-01,269.000
2004-06-01,269.400
2004-07-01,269.600
2004-08-01,269.900
2004-09-01,270.800
2004-10-01,271.800
2004-11-01,271.400
2004-12-01,271.400
2005-01-01,271.600
2005-02-01,272.800
2005-03-01,273.200
2005-04-01,273.500
2005-05-01,274.600
2005-06-01,275.600
2005-07-01,276.300
2005-08-01,276.800
2005-09-01,277.700
2005-10-01,278.900
2005-11-01,280.300
2005-12-01,280.800
2006-01-01,282.000
2006-02-01,283.100
2006-03-01,284.300
2006-04-01,285.300
2006-05-01,286.300
2006-06-01,286.300
2006-07-01,287.100
2006-08-01,287.600
2006-09-01,288.100
2006-10-01,288.100
2006-11-01,286.600
2006-12-01,285.900
2007-01-01,288.088
2007-02-01,287.703
2007-03-01,286.940
2007-04-01,288.349
2007-05-01,288.661
2007-06-01,288.508
2007-07-01,290.257
2007-08-01,291.164
2007-09-01,291.340
2007-10-01,292.161
2007-11-01,293.201
2007-12-01,293.610
2008-01-01,295.472
2008-02-01,295.396
2008-03-01,296.363
2008-04-01,295.983
2008-05-01,294.247
2008-06-01,295.223
2008-07-01,295.091
2008-08-01,295.323
2008-09-01,295.811
2008-10-01,296.428
2008-11-01,297.997
2008-12-01,299.500
2009-01-01,300.050
2009-02-01,301.237
2009-03-01,301.662
2009-04-01,302.858
2009-05-01,304.028
2009-06-01,304.841
2009-07-01,304.686
2009-08-01,306.180
2009-09-01,308.017
2009-10-01,308.990
2009-11-01,309.306
2009-12-01,309.479
2010-01-01,310.591
2010-02-01,311.761
2010-03-01,312.658
2010-04-01,313.219
2010-05-01,314.192
2010-06-01,314.995
2010-07-01,314.622
2010-08-01,315.394
2010-09-01,316.177
2010-10-01,316.646
2010-11-01,317.612
2010-12-01,318.516
2011-01-01,319.314
2011-02-01,320.215
2011-03-01,321.400
2011-04-01,322.984
2011-05-01,323.766
2011-06-01,324.134
2011-07-01,324.442
2011-08-01,324.642
2011-09-01,325.278
2011-10-01,326.375
2011-11-01,327.387
2011-12-01,328.841
2012-01-01,329.815
2012-02-01,330.771
2012-03-01,332.040
2012-04-01,331.999
2012-05-01,332.691
2012-06-01,333.443
2012-07-01,335.101
2012-08-01,335.928
2012-09-01,335.625
2012-10-01,336.046
2012-11-01,335.042
2012-12-01,334.536
2013-01-01,334.758
2013-02-01,333.152
2013-03-01,334.216
2013-04-01,334.512
2013-05-01,333.238
2013-06-01,334.098
2013-07-01,334.553
2013-08-01,335.525
2013-09-01,336.195
2013-10-01,337.573
2013-11-01,337.635
2013-12-01,335.662
2014-01-01,337.509
2014-02-01,338.846
2014-03-01,338.579
2014-04-01,340.115
2014-05-01,341.480
2014-06-01,343.429
2014-07-01,344.584
2014-08-01,344.142
2014-09-01,345.900
2014-10-01,346.426
2014-11-01,348.385
2014-12-01,351.841
2015-01-01,350.879
2015-02-01,352.412
2015-03-01,353.232
2015-04-01,353.849
2015-05-01,355.061
2015-06-01,354.805
2015-07-01,355.071
2015-08-01,354.906
2015-09-01,355.558
2015-10-01,355.954
2015-11-01,357.033
2015-12-01,356.956
2016-01-01,357.414
2016-02-01,361.435
2016-03-01,362.386
2016-04-01,363.843
2016-05-01,361.866
2016-06-01,364.501
2016-07-01,366.784
2016-08-01,372.106
2016-09-01,374.142
2016-10-01,373.792
2016-11-01,371.540
2016-12-01,371.561
2017-01-01,374.150
2017-02-01,376.078
2017-03-01,376.440
2017-04-01,373.231
2017-05-01,373.631
2017-06-01,376.182
2017-07-01,380.302
2017-08-01,381.114
2017-09-01,377.869
2017-10-01,377.038
2017-11-01,378.328
2017-12-01,380.087
2018-01-01,380.846
2018-02-01,381.975
2018-03-01,381.804
2018-04-01,380.479
2018-05-01,383.734
2018-06-01,385.121
2018-07-01,381.954
2018-08-01,382.171
2018-09-01,380.535
2018-10-01,379.662
2018-11-01,380.658
2018-12-01,378.190
2019-01-01,379.777
2019-02-01,377.949
2019-03-01,379.568
2019-04-01,381.256
2019-05-01,381.066
2019-06-01,379.462
2019-07-01,380.278
2019-08-01,382.519
2019-09-01,379.530
2019-10-01,383.498
2019-11-01,383.025
2019-12-01,387.533
2020-01-01,386.331
2020-02-01,384.701
2020-03-01,384.498
2020-04-01,383.911
2020-05-01,384.304
2020-06-01,384.259
2020-07-01,384.377
2020-08-01,385.409
2020-09-01,383.031
2020-10-01,380.371
2020-11-01,378.810
2020-12-01,377.921
2021-01-01,377.546
2021-02-01,374.905
2021-03-01,375.111
2021-04-01,377.284
2021-05-01,377.191
2021-06-01,375.697
2021-07-01,376.323
2021-08-01,375.685
2021-09-01,376.842
2021-10-01,379.003
2021-11-01,379.483
2021-12-01,379.611
2022-01-01,382.984
2022-02-01,384.304
2022-03-01,385.084
2022-04-01,385.307
2022-05-01,386.273
2022-06-01,387.787
2022-07-01,390.077
2022-08-01,391.032
2022-09-01,390.677
2022-10-01,390.614
2022-11-01,391.360
2022-12-01,391.809
2023-01-01,395.981
2023-02-01,396.560
2023-03-01,398.917
2023-04-01,400.755
2023-05-01,403.358
2023-06-01,404.109
2023-07-01,406.169
2023-08-01,408.437
2023-09-01,407.250
2023-10-01,408.965
2023-11-01,410.847
2023-12-01,410.365
2024-01-01,407.879
2024-02-01,408.246
2024-03-01,408.919
2024-04-01,410.743
2024-05-01,416.001
2024-06-01,416.812
2024-07-01,417.465
2024-08-01,416.538
2024-09-01,413.708
2024-10-01,412.914
2024-11-01,412.424
2024-12-01,412.381
2025-01-01,417.214
2025-02-01,417.702
2025-03-01,412.995
2025-04-01,414.709
2025-05-01,417.149
2025-06-01,417.575
2025-07-01,417.800
2025-08-01,416.721
2025-09-01,416.471
2025-11-01,417.161
2025-12-01,418.532
2026-01-01,418.270
2026-02-01,418.113
2026-03-01,414.032
2026-04-01,412.564
2026-05-01,409.628
2026-06-01,408.974
2026-07-01,406.462
