1983-01-01,100.600
1983-02-01,100.900
1983-03-01,100.900
1983-04-01,101.900
1983-05-01,102.100
1983-06-01,102.400
1983-07-01,102.800
1983-08-01,103.000
1983-09-01,103.400
1983-10-01,103.600
1983-11-01,104.000
1983-12-01,104.400
1984-01-01,104.700
1984-02-01,105.100
1984-03-01,105.600
1984-04-01,106.400
1984-05-01,106.600
1984-06-01,107.000
1984-07-01,107.800
1984-08-01,108.100
1984-09-01,108.600
1984-10-01,108.900
1984-11-01,109.200
1984-12-01,109.700
1985-01-01,110.000
1985-02-01,110.800
1985-03-01,111.100
1985-04-01,111.300
1985-05-01,112.600
1985-06-01,113.000
1985-07-01,113.500
1985-08-01,114.300
1985-09-01,114.500
1985-10-01,114.800
1985-11-01,115.700
1985-12-01,116.200
1986-01-01,116.800
1986-02-01,117.100
1986-03-01,118.100
1986-04-01,118.700
1986-05-01,118.900
1986-06-01,119.300
1986-07-01,119.500
1986-08-01,119.900
1986-09-01,120.500
1986-10-01,121.000
1986-11-01,121.300
1986-12-01,121.500
1987-01-01,121.900
1987-02-01,122.500
1987-03-01,123.100
1987-04-01,123.900
1987-05-01,124.400
1987-06-01,124.600
1987-07-01,124.600
1987-08-01,125.400
1987-09-01,125.800
1987-10-01,126.800
1987-11-01,127.100
1987-12-01,127.800
1988-01-01,128.500
1988-02-01,129.000
1988-03-01,129.400
1988-04-01,129.800
1988-05-01,130.200
1988-06-01,130.800
1988-07-01,131.300
1988-08-01,131.900
1988-09-01,132.500
1988-10-01,132.700
1988-11-01,133.500
1988-12-01,133.900
1989-01-01,134.400
1989-02-01,134.800
1989-03-01,135.300
1989-04-01,135.800
1989-05-01,136.500
1989-06-01,136.900
1989-07-01,137.500
1989-08-01,138.200
1989-09-01,138.700
1989-10-01,139.600
1989-11-01,140.100
1989-12-01,140.800
1990-01-01,141.100
1990-02-01,141.200
1990-03-01,142.600
1990-04-01,143.100
1990-05-01,143.500
1990-06-01,144.900
1990-07-01,145.700
1990-08-01,146.700
1990-09-01,147.000
1990-10-01,147.200
1990-11-01,147.100
1990-12-01,147.600
1991-01-01,148.100
1991-02-01,148.600
1991-03-01,148.800
1991-04-01,149.300
1991-05-01,149.700
1991-06-01,150.100
1991-07-01,150.500
1991-08-01,150.800
1991-09-01,151.400
1991-10-01,152.000
1991-11-01,152.600
1991-12-01,153.200
1992-01-01,153.500
1992-02-01,153.800
1992-03-01,154.400
1992-04-01,154.600
1992-05-01,154.900
1992-06-01,155.400
1992-07-01,155.700
1992-08-01,156.100
1992-09-01,156.000
1992-10-01,156.800
1992-11-01,157.300
1992-12-01,157.700
1993-01-01,158.500
1993-02-01,158.800
1993-03-01,159.000
1993-04-01,159.700
1993-05-01,160.000
1993-06-01,160.600
1993-07-01,160.700
1993-08-01,161.100
1993-09-01,161.400
1993-10-01,161.700
1993-11-01,162.100
1993-12-01,162.700
1994-01-01,163.100
1994-02-01,163.900
1994-03-01,164.500
1994-04-01,164.700
1994-05-01,165.100
1994-06-01,165.300
1994-07-01,165.600
1994-08-01,166.500
1994-09-01,167.100
1994-10-01,167.600
1994-11-01,168.000
1994-12-01,168.000
1995-01-01,168.600
1995-02-01,169.000
1995-03-01,169.500
1995-04-01,170.000
1995-05-01,170.600
1995-06-01,171.100
1995-07-01,171.500
1995-08-01,172.000
1995-09-01,172.500
1995-10-01,173.200
1995-11-01,173.700
1995-12-01,174.200
1996-01-01,174.600
1996-02-01,174.900
1996-03-01,175.400
1996-04-01,175.700
1996-05-01,176.200
1996-06-01,176.500
1996-07-01,177.000
1996-08-01,177.400
1996-09-01,177.800
1996-10-01,178.200
1996-11-01,178.600
1996-12-01,178.900
1997-01-01,179.400
1997-02-01,179.900
1997-03-01,180.200
1997-04-01,180.700
1997-05-01,181.200
1997-06-01,181.600
1997-07-01,182.200
1997-08-01,182.700
1997-09-01,183.100
1997-10-01,183.400
1997-11-01,184.000
1997-12-01,184.500
1998-01-01,185.000
1998-02-01,185.400
1998-03-01,186.000
1998-04-01,186.500
1998-05-01,187.000
1998-06-01,187.600
1998-07-01,188.100
1998-08-01,188.600
1998-09-01,189.100
1998-10-01,189.700
1998-11-01,190.100
1998-12-01,190.500
1999-01-01,190.900
1999-02-01,191.200
1999-03-01,191.600
1999-04-01,192.000
1999-05-01,192.400
1999-06-01,192.700
1999-07-01,193.100
1999-08-01,193.500
1999-09-01,193.900
1999-10-01,194.200
1999-11-01,194.700
1999-12-01,195.000
2000-01-01,196.000
2000-02-01,196.500
2000-03-01,196.900
2000-04-01,197.300
2000-05-01,197.800
2000-06-01,198.400
2000-07-01,198.800
2000-08-01,199.300
2000-09-01,199.900
2000-10-01,200.500
2000-11-01,201.000
2000-12-01,201.600
2001-01-01,202.200
2001-02-01,202.800
2001-03-01,203.600
2001-04-01,204.300
2001-05-01,205.100
2001-06-01,205.900
2001-07-01,206.500
2001-08-01,207.400
2001-09-01,208.100
2001-10-01,209.000
2001-11-01,209.900
2001-12-01,210.700
2002-01-01,211.400
2002-02-01,212.000
2002-03-01,212.700
2002-04-01,213.400
2002-05-01,213.900
2002-06-01,214.500
2002-07-01,215.100
2002-08-01,215.500
2002-09-01,216.200
2002-10-01,216.700
2002-11-01,217.200
2002-12-01,217.700
2003-01-01,218.300
2003-02-01,218.600
2003-03-01,218.900
2003-04-01,219.000
2003-05-01,219.300
2003-06-01,219.300
2003-07-01,219.800
2003-08-01,220.200
2003-09-01,220.700
2003-10-01,221.300
2003-11-01,221.800
2003-12-01,222.000
2004-01-01,222.400
2004-02-01,222.800
2004-03-01,223.300
2004-04-01,224.000
2004-05-01,224.400
2004-06-01,224.900
2004-07-01,225.300
2004-08-01,225.800
2004-09-01,226.100
2004-10-01,226.400
2004-11-01,226.700
2004-12-01,227.100
2005-01-01,227.700
2005-02-01,228.300
2005-03-01,228.700
2005-04-01,229.000
2005-05-01,229.500
2005-06-01,229.800
2005-07-01,230.300
2005-08-01,230.700
2005-09-01,231.200
2005-10-01,231.600
2005-11-01,232.200
2005-12-01,232.700
2006-01-01,233.400
2006-02-01,234.100
2006-03-01,234.900
2006-04-01,235.800
2006-05-01,236.900
2006-06-01,238.000
2006-07-01,238.900
2006-08-01,239.700
2006-09-01,240.400
2006-10-01,241.300
2006-11-01,242.000
2006-12-01,242.700
2007-01-01,243.345
2007-02-01,244.020
2007-03-01,244.602
2007-04-01,244.993
2007-05-01,245.236
2007-06-01,245.690
2007-07-01,246.149
2007-08-01,246.815
2007-09-01,247.487
2007-10-01,248.075
2007-11-01,248.876
2007-12-01,249.532
2008-01-01,250.013
2008-02-01,250.419
2008-03-01,250.899
2008-04-01,251.408
2008-05-01,251.677
2008-06-01,252.229
2008-07-01,252.620
2008-08-01,252.992
2008-09-01,253.572
2008-10-01,253.936
2008-11-01,254.600
2008-12-01,254.772
2009-01-01,255.330
2009-02-01,255.657
2009-03-01,256.229
2009-04-01,256.603
2009-05-01,257.030
2009-06-01,257.073
2009-07-01,257.045
2009-08-01,257.248
2009-09-01,256.958
2009-10-01,256.920
2009-11-01,256.616
2009-12-01,256.598
2010-01-01,256.425
2010-02-01,256.373
2010-03-01,256.185
2010-04-01,256.152
2010-05-01,256.302
2010-06-01,256.447
2010-07-01,256.552
2010-08-01,256.574
2010-09-01,256.686
2010-10-01,256.833
2010-11-01,257.110
